A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!PIN_XNET_PINS!
J!C:/USERS/CRAIGCOMBERBACH/ONEDRIVE - SMARTREND MANUFACTURING GROUP/DESKTOP/ORCAD-TUTORIALS/pcb_tutorial.brd!Mon Feb 12 11:22:03 2024!-117.00!-235.00!416.40!196.80!0.01!millimeters!CAPTURE_TUTORIAL!19.600000 mil!3!OUT OF DATE!
S!VBUS!C1!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS636\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_10UF!!!F17!\1\!!!!!
S!GND!C1!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS636\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_10UF!!!F17!\2\!!!!!
S!N02189!C3!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS652\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_10UF!!!F16!\1\!!!!!
S!GND!C3!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS652\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_10UF!!!F16!\2\!!!!!
S!N02114!C9!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS748\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_10UF!!!F15!\1\!!!!!
S!GND!C9!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS748\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_10UF!!!F15!\2\!!!!!
S!3.3V!C2!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS620\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_1210_DISCRETE_100UF!!!F14!\1\!!!!!
S!GND!C2!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS620\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_1210_DISCRETE_100UF!!!F14!\2\!!!!!
S!3.3V!C4!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS668\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F13!\1\!!!!!
S!GND!C4!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS668\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F13!\2\!!!!!
S!3.3V!C5!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS684\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F12!\1\!!!!!
S!GND!C5!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS684\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F12!\2\!!!!!
S!3.3V!C6!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS700\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F11!\1\!!!!!
S!GND!C6!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS700\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F11!\2\!!!!!
S!3.3V!C7!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS716\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F10!\1\!!!!!
S!GND!C7!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS716\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F10!\2\!!!!!
S!3.3V!C8!1!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS732\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F9!\1\!!!!!
S!GND!C8!2!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS732\@\DISCRETE\.\CAP NP.Normal\(chips)!CAP NP_0402-CAP_DISCRETE_0.1UF!!!F9!\2\!!!!!
S!3.3V!IC1!19!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\AVDD\!!!!!
S!GND!IC1!20!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\AVSS\!!!!!
S!D+!IC1!37!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\D+_RG2\!!!!!
S!D-!IC1!36!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\D-_RG3\!!!!!
S!!IC1!57!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\ENVREG\!!!!!
S!!IC1!16!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB0_AN0_PGED1_EMUD1_PMA6_VREF+_CVREF+_CN2\!!!!!
S!!IC1!23!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB10_AN10_TMS_CVREFOUT_PMA13\!!!!!
S!!IC1!24!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB11_AN11_TDO_PMA12\!!!!!
S!!IC1!27!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB12_AN12_TCK_PMA11\!!!!!
S!!IC1!28!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB13_AN13_TDI_PMA10\!!!!!
S!RTS!IC1!29!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB14_AN14_PMALH_PMA1__U2RTS_BCLK2\!!!!!
S!!IC1!30!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB15_AN15_PMALL_PMA0_OCFB_CN12\!!!!!
S!!IC1!15!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB1_AN1_PGEC1_VREF-_CVREF-_CN3\!!!!!
S!!IC1!14!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB2_AN2_C2IN-_CN4\!!!!!
S!!IC1!13!@\CAPTURE_TUTORIAL\.\SCHEMATIC1\(sch_1):\INS202\@\CAPTURE TUTORIAL2\.\PIC32MX440F512H.Normal\(chips)!PIC32MX440F512H_SQFP-S-10X10-64_PIC32MX440F512H!!!F8!\RB3_AN3_C2IN+_CN5\!!!!!
